tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	npc_speed	UNK_0	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	UNK_0a	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	unk1_tab[5]	unk1_tab[6]	unk1_tab[7]	unk1_tab[8]	unk1_tab[9]	unk1_tab[10]	unk1_tab[11]	unk1_tab[12]	unk1_tab[13]	unk1_tab[14]	unk1_tab[15]	unk1_tab[16]	unk1_tab[17]	unk1_tab[18]	unk1_tab[19]	unk1_tab[20]	unk1_tab[21]	unk1_tab[22]	unk1_tab[23]	unk1_tab[24]	unk1_tab[25]	level_lim_dn	level_lim_up	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
1244	LineageMonster.skeleton_knight_30_bi	LineageMonsters.skeleton_knight_m00	1	LineageMonstersTex.skeleton_knight_t00					0			7	4290	4305	4275	4278	4274	22486	22487				1.00000000	0	3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	4	ItemSound.shield_steel_2	ItemSound.shield_steel_1	ItemSound.shield_bone_1	ItemSound.shield_steel_8		3	MonSound.skeleton_k_dmg_1	MonSound.skeleton_k_dmg_2	MonSound.skeleton_k_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1245	LineageMonster.banshee_30_bi	LineageMonsters.banshee_m00	2	LineageMonstersTex.banshee_t00	LineageMonstersTex.banshee_t01				0			6	4298	4305	4278	4333	22488	22489					1.00000000	0	1				4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.silhouet_dmg_1	MonSound.silhouet_dmg_2	MonSound.silhouet_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1246	LineageMonster.death_blader_10_bi	LineageMonsters.death_blader_m00	2	LineageMonstersTex.death_blader_t00	LineageMonstersTex.death_blader_t01				0			6	4290	4305	4275	4278	22490	22491					1.00000000	0	3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	ItemSound.shield_bone_1	ItemSound.shield_steel_1	ItemSound.shield_bone_3	ItemSound.shield_steel_8		3	MonSound.death_knight_dmg_1	MonSound.death_knight_dmg_2	MonSound.death_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1247	LineageMonster.bloody_queen_10_bi	LineageMonsters.bloody_queen_m00	2	LineageMonstersTex.bloody_queen_t00	LineageMonstersTex.bloody_queen_t01				0			6	4298	4305	4278	4333	22492	22493					1.00000000	0	1				5	MonSound.Hit_normal_12	MonSound.Hit_Normal_1	MonSound.Hit_Shell_3	MonSound.Hit_Shell_4	MonSound.Hit_Wet_4	3	MonSound.bloody_q_dmg_1	MonSound.bloody_q_dmg_2	MonSound.bloody_q_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1248	LineageMonster.skeleton_royal_guard_20_bi	LineageMonsters.skeleton_royal_guard_m00	2	LineageMonstersTex.skeleton_royal_guard_t00	LineageMonstersTex.skeleton_royal_guard_t01				0			9	4290	4305	4275	4278	4274	4071	4273	22494	22495		2.00000000	0	3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	5	ItemSound.shield_bone_2	ItemSound.shield_steel_1	ItemSound.armor_metal_alt_6	ItemSound.shield_steel_3	MonSound.Hit_Metal_Clang_9	3	MonSound.skeleton_royal_dmg_1	MonSound.skeleton_royal_dmg_2	MonSound.skeleton_royal_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1249	LineageMonster.vale_master_10_bi	LineageMonsters.vale_master_m00	2	LineageMonstersTex.vale_master_t00	LineageMonstersTex.vale_master_t01				0			6	4298	4305	4275	4278	22496	22497					1.00000000	0	3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	3	MonSound.Hit_Metal_Clang_1	ItemSound.shield_steel_1	ItemSound.shield_steel_8			3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1250	LineageMonster.death_knight	LineageMonsters.death_knight_m00	2	LineageMonstersTex.death_knight_t00	LineageMonstersTex.death_knight_t01				0			6	4290	4305	4275	4278	22498	22499					2.00000000	0	1				3	MonSound.Hit_Metal_Clang_1	ItemSound.shield_steel_1	ItemSound.shield_steel_8			3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1251	LineageMonster.doll_master	LineageMonsters.doll_master_m00	2	LineageMonstersTex.doll_master_t00	LineageMonstersTex.doll_master_t01				0			8	4290	4305	4275	4278	4274	4084	22500	22501			1.00000000	0	3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	5	ItemSound.armor_leather_1	ItemSound.armor_leather_3	ItemSound.armor_leather_4	ItemSound.armor_leather_6	ItemSound.armor_leather_8	3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1252	LineageMonster.skeleton_royal_guard_30_bi	LineageMonsters.skeleton_royal_guard_m00	2	LineageMonstersTex.skeleton_royal_guard_t00	LineageMonstersTex.skeleton_royal_guard_t01				0			9	4290	4305	4275	4278	4274	4071	4273	22502	22503		2.00000000	0	3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	5	ItemSound.shield_bone_2	ItemSound.shield_steel_1	ItemSound.armor_metal_alt_6	ItemSound.shield_steel_3	MonSound.Hit_Metal_Clang_9	3	MonSound.skeleton_royal_dmg_1	MonSound.skeleton_royal_dmg_2	MonSound.skeleton_royal_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1253	LineageMonster.vale_master_30_bi	LineageMonsters.vale_master_m00	2	LineageMonstersTex.vale_master_t00	LineageMonstersTex.vale_master_t01				0			6	4298	4305	4278	4333	22504	22505					1.00000000	0	3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	3	MonSound.Hit_Metal_Clang_1	ItemSound.shield_steel_1	ItemSound.shield_steel_8			3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1254	LineageMonster.death_knight	LineageMonsters.death_knight_m00	2	LineageMonstersTex.death_knight_t00	LineageMonstersTex.death_knight_t01				0			6	4290	4305	4275	4278	22506	22507					2.00000000	0	1				3	MonSound.Hit_Metal_Clang_1	ItemSound.shield_steel_1	ItemSound.shield_steel_8			3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1255	LineageMonster.doll_master_20_bi	LineageMonsters.doll_master_m00	2	LineageMonstersTex.doll_master_t00	LineageMonstersTex.doll_master_t01				0			8	4290	4305	4275	4278	4274	4084	22508	22509			1.00000000	0	3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	5	ItemSound.armor_leather_1	ItemSound.armor_leather_3	ItemSound.armor_leather_4	ItemSound.armor_leather_6	ItemSound.armor_leather_8	3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1256	LineageMonster.werewolf_bi	LineageMonsters.werewolf_m00	2	LineageMonstersTex.werewolf_t00	LineageMonstersTex.werewolf_t01				0			3	4295	22510	22511								1.00000000	0	3	ItemSound.sword_great_2	ItemSound.sword_big_5	ItemSound.spear_4	4	MonSound.Hit_Normal_11	MonSound.Hit_Metal_1	MonSound.Hit_Metal_Clang_2	MonSound.Hit_normal_12		3	MonSound.werewolf_dmg_1	MonSound.werewolf_dmg_2	MonSound.werewolf_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1257	LineageMonster.monster_eye	LineageMonsters.monster_eye_m00	1	LineageMonstersTex.monster_eye_t00					0			5	4291	4281	4276	22512	22513						2.00000000	0	1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.monster_eye_dmg_1	MonSound.monster_eye_dmg_2	MonSound.monster_eye_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1258	LineageMonster.ketra_orc_shaman	LineageMonsters.ketra_orc_shaman_m00	2	LineageMonstersTex.ketra_orc_shaman_t00	LineageMonstersTex.ketra_orc_shaman_t01				0			4	4295	4095	22514	22515							1.00000000	0	3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_wood_1	MonSound.Hit_normal_12	MonSound.Hit_Metal_Clang_2	MonSound.Hit_normal_3		3	MonSound.b_orc_sham_dmg_1	MonSound.b_orc_sham_dmg_2	MonSound.b_orc_sham_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1259	LineageMonster.saber_toothed_tiger	LineageMonsters.saber_toothed_tiger_m00	1	LineageMonstersTex.saber_toothed_tiger_t00					0			5	4293	4085	4086	22516	22517						1.00000000	0	1				4	MonSound.Hit_Bone_8	MonSound.Hit_normal_3	MonSound.Hit_Wet_3	MonSound.Hit_normal_12		3	MonSound2.oel_a_dmg_1	MonSound2.oel_c_dmg_1	MonSound2.oel_w_dmg_1	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1260	LineageMonster.ketra_orc_warrior	LineageMonsters.ketra_orc_warrior_a_m00	2	LineageMonstersTex.ketra_orc_warrior_a_t00	LineageMonstersTex.ketra_orc_warrior_a_t01				0			5	4295	4085	4086	22518	22519						1.00000000	0	3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_normal_12	MonSound.Hit_Metal_Clang_1	MonSound.Hit_bone_7	MonSound.Hit_Metal_clang_8		3	MonSound.b_orc_sham_dmg_1	MonSound.b_orc_sham_dmg_2	MonSound.b_orc_sham_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1261	LineageMonster.ol_mahum	LineageMonsters.ol_mahum_m00	2	LineageMonstersTex.ol_mahum_t00	LineageMonstersTex.ol_mahum_t01				0			5	4295	4281	4276	22520	22521						1.00000000	0	3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	ItemSound.shield_steel_1	MonSound.Hit_Wet_3	ItemSound.shield_steel_8	MonSound.Hit_normal_3		3	MonSound.ol_mahum_dmg_1	MonSound.ol_mahum_dmg_2	MonSound.ol_mahum_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1262	LineageMonster.ol_mahum_champion	LineageMonsters.ol_mahum_champion_m00	2	LineageMonstersTex.ol_mahum_champion_t00	LineageMonstersTex.ol_mahum_champion_t01				0			5	4295	4281	4276	22522	22523						1.00000000	0	3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	ItemSound.shield_steel_2	MonSound.Hit_Wet_3	ItemSound.shield_steel_9	ItemSound.armor_leather_6		3	MonSound.ol_mahum_champ_dmg_1	MonSound.ol_mahum_champ_dmg_2	MonSound.ol_mahum_champ_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1263	LineageMonster.oel_mahum	LineageMonsters.oel_mahum_m00	2	LineageMonstersTex.oel_mahum_t00	LineageMonstersTex.oel_mahum_t01				0			5	4295	4281	4276	22524	22525						1.00000000	0	3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	ItemSound.shield_steel_3	MonSound.Hit_normal_12	ItemSound.Shield_Steel_7	MonSound.Hit_Metal_9		3	MonSound.oel_mahum_dmg_1	MonSound.oel_mahum_dmg_2	MonSound.oel_mahum_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1264	LineageMonster.kel_mahum	LineageMonsters.kel_mahum_m00	2	LineageMonstersTex.kel_mahum_t00	LineageMonstersTex.kel_mahum_t01				0			5	4297	4085	4086	22526	22527						1.00000000	0	3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	ItemSound.shield_steel_1	MonSound.Hit_Wet_3	ItemSound.shield_steel_8	MonSound.Hit_normal_3		3	MonSound.ol_mahum_dmg_1	MonSound.ol_mahum_dmg_2	MonSound.ol_mahum_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1265	LineageMonster.ant_larva	LineageMonsters.ant_larva_m00	1	LineageMonstersTex.ant_larva_t00					0			4	4301	4279	22528	22529							1.00000000	0	1				3	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_5			3	MonSound.ant_larva_dmg_1	MonSound.ant_larva_dmg_2	MonSound.ant_larva_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1266	LineageMonster.ant_larva	LineageMonsters.ant_larva_m00	1	LineageMonstersTex.ant_larva_t00					0			4	4301	4279	22530	22531							1.00000000	0	1				3	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_5			3	MonSound.ant_larva_dmg_1	MonSound.ant_larva_dmg_2	MonSound.ant_larva_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1267	LineageMonster.ant_larva	LineageMonsters.ant_larva_m00	1	LineageMonstersTex.ant_larva_t00					0			4	4301	4279	22532	22533							1.00000000	0	1				3	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_5			3	MonSound.ant_larva_dmg_1	MonSound.ant_larva_dmg_2	MonSound.ant_larva_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1268	LineageMonster.ant_larva	LineageMonsters.ant_larva_m00	1	LineageMonstersTex.ant_larva_t00					0			5	4301	4303	4279	22534	22535						1.00000000	0	1				3	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_5			3	MonSound.ant_larva_dmg_1	MonSound.ant_larva_dmg_2	MonSound.ant_larva_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1269	LineageMonster.ant	LineageMonsters.ant_m00	1	LineageMonstersTex.ant_t00					0			4	4301	4279	22536	22537							1.00000000	0	1				4	MonSound.Hit_Normal_11	MonSound.Hit_Shell_2	MonSound.Hit_Wet_5	ItemSound.shield_bone_4		3	MonSound.ant_dmg_1	MonSound.ant_dmg_2	MonSound.ant_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1270	LineageMonster.ant_soldier	LineageMonsters.ant_soldier_m00	2	LineageMonstersTex.ant_soldier_t00	LineageMonstersTex.ant_soldier_t01				0			4	4301	4279	22538	22539							1.00000000	0	1				4	MonSound.Hit_Normal_11	MonSound.Hit_Shell_2	MonSound.Hit_Wet_5	ItemSound.shield_bone_4		3	MonSound.ant_sol_dmg_1	MonSound.ant_sol_dmg_2	MonSound.ant_sol_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1271	LineageMonster.ant	LineageMonsters.ant_m00	1	LineageMonstersTex.ant_t00					0			4	4301	4279	22540	22541							1.00000000	0	1				4	MonSound.Hit_Normal_11	MonSound.Hit_Shell_2	MonSound.Hit_Wet_5	ItemSound.shield_bone_4		3	MonSound.ant_dmg_1	MonSound.ant_dmg_2	MonSound.ant_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1272	LineageMonster.ant_soldier	LineageMonsters.ant_soldier_m00	2	LineageMonstersTex.ant_soldier_t00	LineageMonstersTex.ant_soldier_t01				0			4	4301	4279	22542	22543							1.00000000	0	1				4	MonSound.Hit_Normal_11	MonSound.Hit_Shell_2	MonSound.Hit_Wet_5	ItemSound.shield_bone_4		3	MonSound.ant_sol_dmg_1	MonSound.ant_sol_dmg_2	MonSound.ant_sol_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1273	LineageMonster.noble_ant	LineageMonsters.noble_ant_m00	2	LineageMonstersTex.noble_ant_t00	LineageMonstersTex.noble_ant_t01				0			7	4301	4303	4279	4085	4086	22544	22545				2.00000000	0	1				4	MonSound.Hit_Normal_11	MonSound.Hit_Shell_2	MonSound.Hit_Wet_5	ItemSound.shield_bone_4		3	MonSound.noble_ant_dmg_1	MonSound.noble_ant_dmg_2	MonSound.noble_ant_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1274	LineageMonster2.youth_ostrich	LineageMonsters2.youth_ostrich_m00	2	LineageMonstersTex2.youth_ostrich_t00	LineageMonstersTex2.youth_ostrich_t01				0			4	4293	4311	22546	22547							1.00000000	0	1				4	MonSound.Hit_Wet_4	MonSound.Hit_normal_12	MonSound.Hit_Wood_5	MonSound.Hit_Bone_3		3	MonSound.harpy_dmg_1	MonSound.harpy_dmg_2	MonSound.harpy_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1275	LineageMonster2.youth_ostrich	LineageMonsters2.youth_ostrich_m00	2	LineageMonstersTex2.youth_ostrich_t00	LineageMonstersTex2.youth_ostrich_t01				0			4	4293	4311	22548	22549							1.00000000	0	1				4	MonSound.Hit_Wet_4	MonSound.Hit_normal_12	MonSound.Hit_Wood_5	MonSound.Hit_Bone_3		3	MonSound.harpy_dmg_1	MonSound.harpy_dmg_2	MonSound.harpy_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1276	LineageMonster2.youth_ostrich	LineageMonsters2.youth_ostrich_m00	2	LineageMonstersTex2.youth_ostrich_t00	LineageMonstersTex2.youth_ostrich_t01				0			4	4293	4311	22550	22551							1.00000000	0	1				4	MonSound.Hit_Wet_4	MonSound.Hit_normal_12	MonSound.Hit_Wood_5	MonSound.Hit_Bone_3		3	MonSound.harpy_dmg_1	MonSound.harpy_dmg_2	MonSound.harpy_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1277	LineageMonster2.youth_ostrich	LineageMonsters2.youth_ostrich_m00	2	LineageMonstersTex2.youth_ostrich_t00	LineageMonstersTex2.youth_ostrich_t01				0			4	4293	4311	22552	22553							1.00000000	0	1				4	MonSound.Hit_Wet_4	MonSound.Hit_normal_12	MonSound.Hit_Wood_5	MonSound.Hit_Bone_3		3	MonSound.harpy_dmg_1	MonSound.harpy_dmg_2	MonSound.harpy_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1278	LineageMonster2.antelope	LineageMonsters2.antelope_m00	2	LineageMonstersTex2.antelope_t00	LineageMonstersTex2.antelope_t01				0			4	4293	4311	22554	22555							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2	MonSound.Hit_normal_12		3	MonSound2.h_silenos_w_dmg_1	MonSound2.h_silenos_w_dmg_2	MonSound2.h_silenos_s_dmg_2	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1279	LineageMonster2.antelope	LineageMonsters2.antelope_m00	2	LineageMonstersTex2.antelope_t00	LineageMonstersTex2.antelope_t01				0			4	4293	4311	22556	22557							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2	MonSound.Hit_normal_12		3	MonSound2.h_silenos_w_dmg_1	MonSound2.h_silenos_w_dmg_2	MonSound2.h_silenos_s_dmg_2	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1280	LineageMonster2.antelope	LineageMonsters2.antelope_m00	2	LineageMonstersTex2.antelope_t00	LineageMonstersTex2.antelope_t01				0			4	4293	4311	22558	22559							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2	MonSound.Hit_normal_12		3	MonSound2.h_silenos_w_dmg_1	MonSound2.h_silenos_w_dmg_2	MonSound2.h_silenos_s_dmg_2	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1281	LineageMonster2.antelope	LineageMonsters2.antelope_m00	2	LineageMonstersTex2.antelope_t00	LineageMonstersTex2.antelope_t01				0			4	4293	4311	22560	22561							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2	MonSound.Hit_normal_12		3	MonSound2.h_silenos_w_dmg_1	MonSound2.h_silenos_w_dmg_2	MonSound2.h_silenos_s_dmg_2	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1282	LineageMonster2.bandersnatch	LineageMonsters2.bandersnatch_m00	1	LineageMonstersTex2.bandersnatch_t00					0			4	4293	4311	22562	22563							1.00000000	0	1				5	MonSound.Hit_Shell_1	MonSound.Hit_Stone_2	ItemSound.shield_bone_4	MonSound.Hit_Wood_5	MonSound.Hit_Normal_10	3	MonSound.less_basilisk_dmg_1	MonSound.less_basilisk_dmg_2	MonSound.less_basilisk_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1283	LineageMonster2.bandersnatch	LineageMonsters2.bandersnatch_m00	1	LineageMonstersTex2.bandersnatch_t00					0			4	4293	4311	22564	22565							1.00000000	0	1				5	MonSound.Hit_Shell_1	MonSound.Hit_Stone_2	ItemSound.shield_bone_4	MonSound.Hit_Wood_5	MonSound.Hit_Normal_10	3	MonSound.less_basilisk_dmg_1	MonSound.less_basilisk_dmg_2	MonSound.less_basilisk_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1284	LineageMonster2.bandersnatch	LineageMonsters2.bandersnatch_m00	1	LineageMonstersTex2.bandersnatch_t00					0			4	4293	4311	22566	22567							1.00000000	0	1				5	MonSound.Hit_Shell_1	MonSound.Hit_Stone_2	ItemSound.shield_bone_4	MonSound.Hit_Wood_5	MonSound.Hit_Normal_10	3	MonSound.less_basilisk_dmg_1	MonSound.less_basilisk_dmg_2	MonSound.less_basilisk_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1285	LineageMonster2.bandersnatch	LineageMonsters2.bandersnatch_m00	1	LineageMonstersTex2.bandersnatch_t00					0			4	4293	4311	22568	22569							1.00000000	0	1				5	MonSound.Hit_Shell_1	MonSound.Hit_Stone_2	ItemSound.shield_bone_4	MonSound.Hit_Wood_5	MonSound.Hit_Normal_10	3	MonSound.less_basilisk_dmg_1	MonSound.less_basilisk_dmg_2	MonSound.less_basilisk_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1286	LineageMonster2.buffalo	LineageMonsters2.buffalo_m00	2	LineageMonstersTex2.buffalo_t00	LineageMonstersTex2.buffalo_t01				0			4	4293	4311	22570	22571							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		3	MonSound.minotaur_dmg_1	MonSound.minotaur_dmg_2	MonSound.minotaur_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1287	LineageMonster2.buffalo	LineageMonsters2.buffalo_m00	2	LineageMonstersTex2.buffalo_t00	LineageMonstersTex2.buffalo_t01				0			4	4293	4311	22572	22573							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		3	MonSound.minotaur_dmg_1	MonSound.minotaur_dmg_2	MonSound.minotaur_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1288	LineageMonster2.buffalo	LineageMonsters2.buffalo_m00	2	LineageMonstersTex2.buffalo_t00	LineageMonstersTex2.buffalo_t01				0			4	4293	4311	22574	22575							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		3	MonSound.minotaur_dmg_1	MonSound.minotaur_dmg_2	MonSound.minotaur_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1289	LineageMonster2.buffalo	LineageMonsters2.buffalo_m00	2	LineageMonstersTex2.buffalo_t00	LineageMonstersTex2.buffalo_t01				0			4	4293	4311	22576	22577							1.00000000	0	1				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		3	MonSound.minotaur_dmg_1	MonSound.minotaur_dmg_2	MonSound.minotaur_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1290	LineageMonster2.bionic_bear	LineageMonsters2.bionic_bear_m00	2	LineageMonstersTex2.bionic_bear_t00	LineageMonstersTex2.bionic_bear_t01				0			4	4293	4311	22578	22579							1.00000000	0	1				4	MonSound.Hit_Bone_6	MonSound.Hit_normal_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_8		3	MonSound.grizzly_dmg_1	MonSound.grizzly_dmg_2	MonSound.grizzly_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
1291	LineageMonster2.bionic_bear	LineageMonsters2.bionic_bear_m00	2	LineageMonstersTex2.bionic_bear_t00	LineageMonstersTex2.bionic_bear_t01				0			4	4293	4311	22580	22581							1.00000000	0	1				4	MonSound.Hit_Bone_6	MonSound.Hit_normal_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_8		3	MonSound.grizzly_dmg_1	MonSound.grizzly_dmg_2	MonSound.grizzly_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
