tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	dtab1[10]	dtab1[11]	dtab1[12]	dtab1[13]	dtab1[14]	dtab1[15]	dtab1[16]	dtab1[17]	dtab1[18]	dtab1[19]	dtab1[20]	dtab1[21]	dtab1[22]	dtab1[23]	dtab1[24]	dtab1[25]	npc_speed	unk0_cnt	unk0_tab	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	rb_effect_on	rb_effect	rb_effect_fl	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
20596	LineageMonster.undine	LineageMonsters.undine_m00	2	LineageMonstersTex.undine_t00	LineageMonstersTex.undine_t01				0			22	4416	7	4408	10	4410	12	4411	12	4412	10	4413	10	4010	5	4279	1	20000	20596	20001	20596	20002	20596					2.90000010	0		1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.undine_dmg_1	MonSound.undine_dmg_2	MonSound.undine_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20597	LineageMonster.ti_mi_tran	LineageMonsters.ti_mi_tran_m00	3	LineageMonstersTex.ti_mi_tran_t00	LineageMonstersTex.ti_mi_tran_t01	LineageMonstersTex.ti_mi_tran_t02			0			26	4416	7	4408	11	4410	12	4411	12	4412	10	4413	18	4279	1	4277	5	4071	5	4284	5	20000	20597	20001	20597	20002	20597	1.00000000	0		1				4	ItemSound.shield_wood_3	MonSound.Hit_Wood_4	ItemSound.Shield_Wood_4	MonSound.Hit_Wood_5		3	MonSound.ti_mi_tran_dmg_1	MonSound.ti_mi_tran_dmg_2	MonSound.ti_mi_tran_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20598	LineageMonster.pan	LineageMonsters.pan_m00	2	LineageMonstersTex.pan_t00	LineageMonstersTex.pan_t01				0			18	4416	13	4408	11	4410	12	4411	12	4412	10	4413	10	20000	20598	20001	20598	20002	20598									1.45000005	0		3	ItemSound.spear_2	ItemSound.spear_3	ItemSound.sword_mid_3	4	MonSound.Hit_normal_3	MonSound.Hit_Shell_1	MonSound.Hit_Metal_Clang_7	MonSound.Hit_normal_12		3	MonSound.pan_dmg_1	MonSound.pan_dmg_2	MonSound.pan_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20599	LineageMonster.unicorn	LineageMonsters.unicorn_m00	2	LineageMonstersTex.unicorn_t00	LineageMonstersTex.unicorn_t01				0			18	4416	7	4408	11	4410	12	4411	12	4412	10	4413	10	20000	20599	20001	20599	20002	20599									1.15999997	0		1				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wood_3	MonSound.Hit_normal_12		3	MonSound.undine_dmg_1	MonSound.undine_dmg_2	MonSound.undine_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20600	LineageMonster.bugbear	LineageMonsters.bugbear_m00	2	LineageMonstersTex.bugbear_t00	LineageMonstersTex.bugbear_t01				0			16	4416	11	4410	12	4411	12	4412	10	4413	10	20000	20600	20001	20600	20002	20600											1.33846200	0		3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Stone_1	MonSound.Hit_Wet_4	MonSound.Hit_Shell_4	MonSound.Hit_Metal_Clang_1		3	MonSound.bugbear_dmg_1	MonSound.bugbear_dmg_2	MonSound.bugbear_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20601	LineageMonster.batur_orc	LineageMonsters.batur_orc_m00	1	LineageMonstersTex.batur_orc_t00					0			8	4416	6	20000	20601	20001	20601	20002	20601																			1.33846200	0		3	ItemSound.sword_great_2	ItemSound.sword_big_5	ItemSound.spear_4	4	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Shell_2	MonSound.Hit_Wet_4		3	MonSound.b_orc_dmg_1	MonSound.b_orc_dmg_2	MonSound.b_orc_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20602	LineageMonster.batur_orc_archer	LineageMonsters.batur_orc_archer_m00	1	LineageMonstersTex.batur_orc_archer_t00					0			8	4416	6	20000	20602	20001	20602	20002	20602																			1.58181798	0		3	ItemSound.sword_big_2	ItemSound.sword_great_2	ItemSound.spear_3	4	MonSound.Hit_normal_3	MonSound.Hit_Shell_2	MonSound.Hit_normal_12	MonSound.Hit_Metal_clang_10		3	MonSound.b_orc_arc_dmg_1	MonSound.b_orc_arc_dmg_2	MonSound.b_orc_arc_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20603	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			16	4416	12	4410	10	4411	10	4412	12	4413	12	20000	20603	20001	20603	20002	20603											1.33846200	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20604	LineageMonster.twin_headed_giant	LineageMonsters.twin_headed_giant_m00	2	LineageMonstersTex.twin_headed_giant_t00	LineageMonstersTex.twin_headed_giant_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	20000	20604	20001	20604	20002	20604											1.74000001	0		3	ItemSound.sword_big_2	ItemSound.sword_great_2	ItemSound.spear_3	5	ItemSound.shield_bone_1	MonSound.Hit_normal_3	MonSound.Hit_Bone_5	MonSound.Hit_Metal_clang_10	MonSound.Hit_Stone_3	3	MonSound.twin_h_giant_dmg_1	MonSound.twin_h_giant_dmg_2	MonSound.twin_h_giant_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20605	LineageMonster.drake	LineageMonsters.drake_m00	2	LineageMonstersTex.drake_t00	LineageMonstersTex.drake_t01				0			10	4416	10	4071	5	20000	20605	20001	20605	20002	20605																	2.48571396	0		1				4	MonSound.Hit_Bone_6	MonSound.Hit_Bone_2	MonSound.Hit_Shell_1	MonSound.Hit_Stone_3		3	MonSound.drake_dmg_1	MonSound.drake_dmg_2	MonSound.drake_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20606	LineageMonster.kobold	LineageMonsters.kobold_m00	2	LineageMonstersTex.kobold_t00	LineageMonstersTex.kobold_t01				0			18	4416	6	4408	10	4410	10	4411	10	4412	12	4413	12	20000	20606	20001	20606	20002	20606									1.00000000	0		1				4	MonSound.Hit_normal_12	MonSound.Hit_Wood_4	MonSound.Hit_Wet_3	ItemSound.shield_steel_3		3	MonSound.kobold_dmg_1	MonSound.kobold_dmg_2	MonSound.kobold_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20607	LineageMonster.kobold	LineageMonsters.kobold_m00	2	LineageMonstersTex.kobold_t00	LineageMonstersTex.kobold_t01				0			18	4416	6	4408	10	4410	12	4411	12	4412	10	4413	10	20000	20607	20001	20607	20002	20607									1.00000000	0		1				4	MonSound.Hit_normal_12	MonSound.Hit_Wood_4	MonSound.Hit_Wet_3	ItemSound.shield_steel_3		3	MonSound.kobold_dmg_1	MonSound.kobold_dmg_2	MonSound.kobold_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20608	LineageMonster.skeleton_archer	LineageMonsters.skeleton_archer_m00	3	LineageMonstersTex.skeleton_archer_t00	LineageMonstersTex.skeleton_archer_t01	LineageMonstersTex.skeleton_archer_t02			0			16	4416	1	4408	10	4275	2	4278	1	4274	1	20000	20608	20001	20608	20002	20608											1.00000000	0		3	ItemSound.sword_mid_3	ItemSound.spear_2	ItemSound.spear_4	3	MonSound.Hit_Bone_2	ItemSound.armor_leather_2	ItemSound.shield_bone_3			3	MonSound.skeleton_arc_dmg_1	MonSound.skeleton_arc_dmg_2	MonSound.skeleton_arc_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20609	LineageMonster.salamander	LineageMonsters.salamander_m00	2	LineageMonstersTex.salamander_t00	LineageMonstersTex.salamander_t01				0			22	4416	7	4408	10	4410	10	4411	10	4412	12	4413	12	4009	5	4280	1	20000	20609	20001	20609	20002	20609					1.00000000	0		1				5	MonSound.Hit_Stone_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_5	MonSound.Hit_Shell_2	MonSound.Hit_bone_1	3	MonSound.salamander_dmg_1	MonSound.salamander_dmg_2	MonSound.salamander_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20610	LineageMonster.monster_eye	LineageMonsters.monster_eye_m00	1	LineageMonstersTex.monster_eye_t00					0			18	4416	2	4408	10	4410	12	4411	12	4412	10	4413	10	20000	20610	20001	20610	20002	20610									1.00000000	0		1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.monster_eye_dmg_1	MonSound.monster_eye_dmg_2	MonSound.monster_eye_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20611	LineageMonster.dre_vanul	LineageMonsters.dre_vanul_m00	2	LineageMonstersTex.dre_vanul_t00	LineageMonstersTex.dre_vanul_t01				0			22	4416	9	4408	10	4410	12	4411	12	4412	10	4413	10	4278	1	4333	5	20000	20611	20001	20611	20002	20611					1.00000000	0		1				4	ItemSound.armor_leather_2	MonSound.Hit_Shell_3	MonSound.Hit_Wet_4	MonSound.Hit_Bone_8		3	MonSound.dre_vanul_dmg_1	MonSound.dre_vanul_dmg_2	MonSound.dre_vanul_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20612	LineageMonster.salamander	LineageMonsters.salamander_m00	2	LineageMonstersTex.salamander_t00	LineageMonstersTex.salamander_t01				0			22	4416	7	4408	10	4410	10	4411	10	4412	12	4413	12	4009	5	4280	1	20000	20612	20001	20612	20002	20612					1.00000000	0		1				5	MonSound.Hit_Stone_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_5	MonSound.Hit_Shell_2	MonSound.Hit_bone_1	3	MonSound.salamander_dmg_1	MonSound.salamander_dmg_2	MonSound.salamander_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20613	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			10	4416	6	4408	10	20000	20613	20001	20613	20002	20613																	1.00000000	0		3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_dmg_1	MonSound.v_lizard_dmg_2	MonSound.v_lizard_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20614	LineageMonster.virud_lizardman_scout	LineageMonsters.virud_lizardman_scout_m00	2	LineageMonstersTex.virud_lizardman_scout_t00	LineageMonstersTex.virud_lizardman_scout_t01				0			18	4416	6	4408	10	4410	10	4411	10	4412	12	4413	12	20000	20614	20001	20614	20002	20614									1.00000000	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_12	MonSound.Hit_normal_3	ItemSound.shield_steel_3		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20615	LineageMonster.spartoi	LineageMonsters.spartoi_m00	2	LineageMonstersTex.spartoi_t00	LineageMonstersTex.spartoi_t01				0			16	4416	1	4408	10	4275	2	4278	1	4274	1	20000	20615	20001	20615	20002	20615											1.00000000	0		3	ItemSound.spear_3	ItemSound.sword_great_2	ItemSound.hammer_2	4	ItemSound.Armor_bone_3	MonSound.Hit_Metal_Clang_2	ItemSound.shield_bone_2	ItemSound.shield_steel_5		3	MonSound.spartoi_dmg_1	MonSound.spartoi_dmg_2	MonSound.spartoi_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20616	LineageMonster.undine	LineageMonsters.undine_m00	2	LineageMonstersTex.undine_t00	LineageMonstersTex.undine_t01				0			26	4416	7	4408	10	4410	12	4411	12	4412	10	4413	18	4010	5	4279	1	4071	5	4284	5	20000	20616	20001	20616	20002	20616	1.00000000	0		1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.undine_dmg_1	MonSound.undine_dmg_2	MonSound.undine_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20617	LineageMonster.magical_weaver	LineageMonsters.magical_weaver_m00	2	LineageMonstersTex.magical_weaver_t00	LineageMonstersTex.magical_weaver_t01				0			18	4416	2	4408	10	4410	10	4411	10	4412	12	4413	12	20000	20617	20001	20617	20002	20617									1.00000000	0		1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.m_weaver_dmg_1	MonSound.m_weaver_dmg_2	MonSound.m_weaver_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20618	LineageMonster.succubus	LineageMonsters.succubus_m00	2	LineageMonstersTex.succubus_t00	LineageMonstersTex.succubus_t01				0			22	4416	9	4408	10	4410	12	4411	12	4412	10	4413	10	4278	1	4333	5	20000	20618	20001	20618	20002	20618					1.00000000	0		3	ItemSound.spear_2	ItemSound.sword_big_2	ItemSound.sword_great_2	4	MonSound.Hit_bone_7	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1		3	MonSound.succubus_dmg_1	MonSound.succubus_dmg_2	MonSound.succubus_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20619	LineageMonster.undine	LineageMonsters.undine_m00	2	LineageMonstersTex.undine_t00	LineageMonstersTex.undine_t01				0			22	4416	7	4408	10	4410	10	4411	10	4412	12	4413	12	4010	5	4279	1	20000	20619	20001	20619	20002	20619					1.00000000	0		1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.undine_dmg_1	MonSound.undine_dmg_2	MonSound.undine_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20620	LineageMonster.troll	LineageMonsters.troll_m00	2	LineageMonstersTex.troll_t00	LineageMonstersTex.troll_t01				0			18	4416	3	4408	11	4410	12	4411	12	4412	10	4413	10	20000	20620	20001	20620	20002	20620									1.58181798	0		1				4	MonSound.Hit_Normal_10	MonSound.Hit_normal_12	MonSound.Hit_Shell_1	MonSound.Hit_Stone_3		3	MonSound.troll_dmg_1	MonSound.troll_dmg_2	MonSound.troll_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20621	LineageMonster.will_o_wisp	LineageMonsters.will_o_wisp_m00	1	LineageMonstersTex.will_o_wisp_t00					0			18	4416	2	4408	11	4410	12	4411	12	4412	10	4413	10	20000	20621	20001	20621	20002	20621									1.24285698	0		1				4	MonSound.Hit_Soul_5	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Soul_8	ItemSound.armor_metal_alt_6		3	MonSound.will_o_wisp_dmg_1	MonSound.will_o_wisp_dmg_2	MonSound.will_o_wisp_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20622	LineageMonster.skeleton_royal_guard	LineageMonsters.skeleton_royal_guard_m00	2	LineageMonstersTex.skeleton_royal_guard_t00	LineageMonstersTex.skeleton_royal_guard_t01				0			26	4416	1	4408	11	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4085	1	4086	1	4438	2	20000	20622	20001	20622	1.45000005	0		3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	5	ItemSound.shield_bone_2	ItemSound.shield_steel_1	ItemSound.armor_metal_alt_6	ItemSound.shield_steel_3	MonSound.Hit_Metal_Clang_9	3	MonSound.skeleton_royal_dmg_1	MonSound.skeleton_royal_dmg_2	MonSound.skeleton_royal_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20623	LineageMonster.virud_lizardman_scout	LineageMonsters.virud_lizardman_scout_m00	2	LineageMonstersTex.virud_lizardman_scout_t00	LineageMonstersTex.virud_lizardman_scout_t01				0			18	4416	6	4408	12	4410	10	4411	10	4412	12	4413	12	20000	20623	20001	20623	20002	20623									1.33846200	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_12	MonSound.Hit_normal_3	ItemSound.shield_steel_3		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20624	LineageMonster.twin_headed_giant	LineageMonsters.twin_headed_giant_m00	2	LineageMonstersTex.twin_headed_giant_t00	LineageMonstersTex.twin_headed_giant_t01				0			18	4416	6	4408	12	4410	10	4411	10	4412	12	4413	12	20000	20624	20001	20624	20002	20624									1.74000001	0		3	ItemSound.sword_big_2	ItemSound.sword_great_2	ItemSound.spear_3	5	ItemSound.shield_bone_1	MonSound.Hit_normal_3	MonSound.Hit_Bone_5	MonSound.Hit_Metal_clang_10	MonSound.Hit_Stone_3	3	MonSound.twin_h_giant_dmg_1	MonSound.twin_h_giant_dmg_2	MonSound.twin_h_giant_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20625	LineageMonster.skeleton_knight	LineageMonsters.skeleton_knight_m00	1	LineageMonstersTex.skeleton_knight_t00					0			22	4416	1	4408	12	4410	10	4411	10	4412	12	4413	12	4275	2	4278	1	20000	20625	20001	20625	20002	20625					1.08749998	0		3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	4	ItemSound.shield_steel_2	ItemSound.shield_steel_1	ItemSound.shield_bone_1	ItemSound.shield_steel_8		3	MonSound.skeleton_k_dmg_1	MonSound.skeleton_k_dmg_2	MonSound.skeleton_k_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20626	LineageMonster.death_knight	LineageMonsters.death_knight_m00	2	LineageMonstersTex.death_knight_t00	LineageMonstersTex.death_knight_t01				0			22	4416	1	4408	12	4410	13	4411	13	4412	16	4413	9	4275	2	4278	1	20000	20626	20001	20626	20002	20626					1.20000005	0		3	ItemSound.hammer_1	ItemSound.sword_great_2	ItemSound.hammer_3	3	ItemSound.shield_steel_3	ItemSound.armor_metal_strong_8	ItemSound.shield_leather_1			3	MonSound.death_knight_dmg_1	MonSound.death_knight_dmg_2	MonSound.death_knight_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20627	LineageMonster.death_blader	LineageMonsters.death_blader_m00	2	LineageMonstersTex.death_blader_t00	LineageMonstersTex.death_blader_t01				0			14	4416	1	4408	13	4275	2	4278	1	20000	20627	20001	20627	20002	20627													1.02352905	0		3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	ItemSound.shield_bone_1	ItemSound.shield_steel_1	ItemSound.shield_bone_3	ItemSound.shield_steel_8		3	MonSound.death_knight_dmg_1	MonSound.death_knight_dmg_2	MonSound.death_knight_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20628	LineageMonster.bloody_queen	LineageMonsters.bloody_queen_m00	2	LineageMonstersTex.bloody_queen_t00	LineageMonstersTex.bloody_queen_t01				0			22	4416	9	4408	13	4410	12	4411	12	4412	10	4413	10	4278	1	4333	5	20000	20628	20001	20628	20002	20628					1.24285698	0		1				5	MonSound.Hit_normal_12	MonSound.Hit_Normal_1	MonSound.Hit_Shell_3	MonSound.Hit_Shell_4	MonSound.Hit_Wet_4	3	MonSound.bloody_q_dmg_1	MonSound.bloody_q_dmg_2	MonSound.bloody_q_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20629	LineageMonster.karik	LineageMonsters.karik_m00	2	LineageMonstersTex.karik_t00	LineageMonstersTex.karik_t01				0			24	4416	9	4408	13	4410	12	4411	12	4412	13	4278	1	4333	5	4085	1	4086	1	20000	20629	20001	20629	20002	20629			0.87000000	0		1				4	MonSound.Hit_Metal_Clang_4	MonSound.Hit_Metal_Clang_9	MonSound.Hit_Wood_3	MonSound.Hit_normal_3		3	MonSound.h_less_knight_dmg_1	MonSound.h_less_knight_dmg_2	MonSound.h_less_knight_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20630	LineageMonster.ketra_orc	LineageMonsters.ketra_orc_m00	2	LineageMonstersTex.ketra_orc_t00	LineageMonstersTex.ketra_orc_t01				0			8	4416	6	20000	20630	20001	20630	20002	20630																			1.02352905	0		3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	ItemSound.shield_steel_2	ItemSound.shield_bone_2	MonSound.Hit_Normal_1	ItemSound.shield_steel_8		3	MonSound.orc_champ_dmg_1	MonSound.orc_champ_dmg_2	MonSound.orc_champ_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20631	LineageMonster.ketra_orc_archer	LineageMonsters.ketra_orc_archer_a_m00	2	LineageMonstersTex.ketra_orc_archer_a_t00	LineageMonstersTex.ketra_orc_archer_a_t01				0			18	4416	6	4410	10	4411	10	4412	12	4413	12	4414	3	20000	20631	20001	20631	20002	20631									1.58181798	0		3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Bone_5	MonSound.Hit_Metal_Clang_1	MonSound.Hit_bone_7	MonSound.Hit_Metal_clang_8		3	MonSound.orc_fighter_dmg_1	MonSound.orc_fighter_dmg_2	MonSound.orc_fighter_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20632	LineageMonster.ketra_orc_warrior	LineageMonsters.ketra_orc_warrior_a_m00	2	LineageMonstersTex.ketra_orc_warrior_a_t00	LineageMonstersTex.ketra_orc_warrior_a_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	20000	20632	20001	20632	20002	20632											1.02352905	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_normal_12	MonSound.Hit_Metal_Clang_1	MonSound.Hit_bone_7	MonSound.Hit_Metal_clang_8		3	MonSound.b_orc_sham_dmg_1	MonSound.b_orc_sham_dmg_2	MonSound.b_orc_sham_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20633	LineageMonster.ketra_orc_shaman	LineageMonsters.ketra_orc_shaman_m00	2	LineageMonstersTex.ketra_orc_shaman_t00	LineageMonstersTex.ketra_orc_shaman_t01				0			16	4416	6	4410	10	4411	10	4412	12	4413	12	20000	20633	20001	20633	20002	20633											1.33846200	0		3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_wood_1	MonSound.Hit_normal_12	MonSound.Hit_Metal_Clang_2	MonSound.Hit_normal_3		3	MonSound.b_orc_sham_dmg_1	MonSound.b_orc_sham_dmg_2	MonSound.b_orc_sham_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20634	LineageMonster.ketra_orc_warrior	LineageMonsters.ketra_orc_warrior_a_m00	2	LineageMonstersTex.ketra_orc_warrior_a_t00	LineageMonstersTex.ketra_orc_warrior_a_t01				0			18	4416	6	4408	10	4410	10	4411	10	4412	12	4413	12	20000	20634	20001	20634	20002	20634									1.02352905	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_normal_12	MonSound.Hit_Metal_Clang_1	MonSound.Hit_bone_7	MonSound.Hit_Metal_clang_8		3	MonSound.orc_fighter_dmg_1	MonSound.orc_fighter_dmg_2	MonSound.orc_fighter_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20635	LineageMonster.mana_vampire	LineageMonsters.mana_vampire_m00	2	LineageMonstersTex.mana_vampire_t00	LineageMonstersTex.mana_vampire_t01				0			16	4416	2	4410	12	4411	12	4412	10	4413	10	20000	20635	20001	20635	20002	20635											1.93333304	0		1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.m_vampire_dmg_1	MonSound.m_vampire_dmg_2	MonSound.m_vampire_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20636	LineageMonster.dwarf_ghost	LineageMonsters.dwarf_ghost_m00	2	LineageMonstersTex.dwarf_ghost_t00	LineageMonstersTex.dwarf_ghost_t01				0			22	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4093	1	20000	20636	20001	20636	20002	20636					1.24285698	0		3	ItemSound.sword_mid_3	ItemSound.spear_2	ItemSound.spear_4	4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.dwarf_ghost_dmg_1	MonSound.dwarf_ghost_dmg_2	MonSound.dwarf_ghost_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20637	LineageMonster.elf_ghost	LineageMonsters.elf_ghost_m00	2	LineageMonstersTex.elf_ghost_t00	LineageMonstersTex.elf_ghost_t01				0			22	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4093	1	20000	20637	20001	20637	20002	20637					1.24285698	0		3	ItemSound.sword_mid_3	ItemSound.spear_2	ItemSound.spear_4	4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.elf_ghost_dmg_1	MonSound.elf_ghost_dmg_2	MonSound.elf_ghost_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
